Alpha, EGS, ChooseA, AvoidB, PickA, PickB, PickC, PickD, PickE, PickF
0.001,   0.1, 0.375, .6875, .0437, -.044, .0287, -.029, .0263, -.026
0.001,   0.1,   0.5, .6875, .0622, -.062, .0476, -.048, .0152, -.015
0.001,   0.1, .5625, 0.625, .0531, -.053, .0528, -.053,  -0.0,   0.0
0.001,   0.1,  0.75,   0.5, .0714, -.071, .0509, -.051,  0.03, -0.03
0.001,   0.1, .5625,   0.5, 0.031, -.031, .0348, -.035, .0174, -.017
0.001,   0.1, .5625, .5625, .0384, -.038, .0271, -.027, .0268, -.027
0.001,   0.1,   0.5,  0.75, .0811, -.081, .0492, -.049, .0284, -.028
0.001,   0.1, .6875,   0.5, .0482, -.048, .0269, -.027, .0154, -.015
0.001,   0.1, .4375, .6875, .0571, -.057, .0378, -.038, .0345, -.035
0.001,   0.1,  0.75, 0.625, .0736, -.074, .0377, -.038, 0.015, -.015
0.001,   0.1,   0.5, 0.625, .0467, -.047, .0453, -.045, .0244, -.024
0.001,   0.1, .6875, .6875, 0.072, -.072, .0509, -.051, .0153, -.015
0.001,   0.1, .5625, .6875, .0527, -.053, .0509, -.051, .0414, -.041
0.001,   0.1,  0.75,   0.5, .0602, -0.06, .0475, -.047, .0211, -.021
0.001,   0.1, 0.625, 0.375, .0661, -.066, .0402, -0.04, .0171, -.017
0.001,   0.1, .5625,   0.5, .0622, -.062, .0601, -0.06, .0088, -.009
0.001,   0.1, .5625, 0.625, .0694, -.069, .0562, -.056, .0137, -.014
0.001,   0.1, .3125, .5625, .0254, -.025, .0216, -.022, .0059, -.006
0.001,   0.1,   0.5, .8125, .0602, -0.06, .0281, -.028, .0222, -.022
0.001,   0.1, 0.625, .6875, .0772, -.077, .0432, -.043, .0317, -.032
0.001,   0.1, 0.875, .4375, .0701, -0.07, .0467, -.047, .0322, -.032
0.001,   0.1, .5625, 0.625, .0814, -.081, .0413, -.041, .0173, -.017
0.001,   0.1,   0.5, 0.375, .0119, -.012, .0099, -0.01, 0.004, -.004
0.001,   0.1,  0.75,   0.5, .0812, -.081, .0496, -0.05, .0076, -.008
0.001,   0.1, .5625,   0.5, 0.071, -.071, 0.047, -.047, .0264, -.026
0.001,   0.1, .8125, .6875, .0562, -.056, .0374, -.037, .0381, -.038
0.001,   0.1, .3125, .6875, .0235, -.024, .0237, -.024, .0157, -.016
0.001,   0.1, .5625, .6875, .0418, -.042, .0362, -.036, .0192, -.019
0.001,   0.1, .5625, .5625, .0731, -.073, .0434, -.043, .0358, -.036
0.001,   0.1, .4375, .6875, .0236, -.024, .0236, -.024, .0097, -0.01
0.001,   0.1, .8125, .5625, .0659, -.066, .0474, -.047, .0342, -.034
0.001,   0.1, .6875, 0.625, .0195, -0.02, .0216, -.022, .0157, -.016
0.001,   0.1, .5625, .3125, .0158, -.016, .0099, -0.01, .0079, -.008
0.001,   0.1,  0.75, .6875, .0697, -0.07, .0512, -.051, .0203, -0.02
0.001,   0.1, .6875, 0.625, .0754, -.075, .0492, -.049, .0328, -.033
0.001,   0.1,   0.5, .4375, .0676, -.068, .0453, -.045, .0287, -.029
0.001,   0.1, .5625, .8125, 0.071, -.071, .0361, -.036, .0128, -.013
0.001,   0.1,   0.5, 0.625, .0369, -.037, .0309, -.031, .0058, -.006
0.001,   0.1, 0.375, .5625, .0736, -.074, .0513, -.051, .0339, -.034
0.001,   0.1, .5625, .3125, 0.046, -.046, .0253, -.025, .0215, -.022
0.001,   0.1, .6875, 0.625, .0598, -0.06,  0.04, -0.04, .0227, -.023
0.001,   0.1, 0.625, 0.625, .0507, -.051, 0.032, -.032, .0293, -.029
0.001,   0.1, .6875,  0.75, .0754, -.075, .0396, -0.04, 0.013, -.013
0.001,   0.1,   0.5, 0.625, .0517, -.052, .0363, -.036, .0212, -.021
0.001,   0.1, 0.625, .6875, .0333, -.033, .0119, -.012,  -0.0,   0.0
0.001,   0.1, .3125,  0.25, .0079, -.008, .0119, -.012, .0079, -.008
0.001,   0.1, .4375, .4375, .0523, -.052, .0439, -.044, .0113, -.011
0.001,   0.1, .8125, .4375, .0403, -0.04, .0342, -.034, .0228, -.023
0.001,   0.1, 0.625, .5625, .0703, -0.07, .0361, -.036, .0265, -.027
0.001,   0.1, .8125,   0.5, .0665, -.067, 0.049, -.049, .0133, -.013
0.001,   0.1,   0.5, .5625, .0739, -.074, .0319, -.032, .0134, -.013
0.001,   0.1,   0.5,  0.75, .0531, -.053, 0.038, -.038, 0.025, -.025
0.001,   0.1, 0.625, 0.625, .0439, -.044, .0423, -.042, .0056, -.006
0.001,   0.1, .5625, 0.625, .0748, -.075, .0397, -0.04, .0128, -.013
0.001,   0.1, 0.625, .3125, .0178, -.018, .0099, -0.01, .0119, -.012
0.001,   0.1, .5625, .6875, .0732, -.073, .0356, -.036, .0095, -0.01
0.001,   0.1, .4375, 0.625, .0294, -.029, .0177, -.018, .0138, -.014
0.001,   0.1,  0.75, .4375, 0.085, -.085, .0695, -0.07, .0232, -.023
0.001,   0.1, .6875, 0.875, 0.046, -.046, .0174, -.017,  -0.0, .0001
0.001,   0.1, .5625,   0.5, .0386, -.039, 0.027, -.027, .0137, -.014
0.001,   0.1, .8125,   0.5, .0658, -.066, .0395, -0.04, .0204, -0.02
0.001,   0.1, .6875, 0.625, .0521, -.052, .0364, -.036, 0.023, -.023
0.001,   0.1, .6875, 0.625, .0253, -.025, 0.033, -.033, .0096, -0.01
0.001,   0.1, .6875, .4375, .0645, -.065, .0382, -.038, .0187, -.019
0.001,   0.1, .6875,   0.5, .0729, -.073, .0413, -.041, .0278, -.028
0.001,   0.1,  0.75, .6875, .0681, -.068, .0432, -.043, 0.026, -.026
0.001,   0.1, .6875, .8125, .0482, -.048, .0271, -.027, .0078, -.008
0.001,   0.1, 0.625, .6875, .0699, -0.07, .0416, -.042, .0356, -.036
0.001,   0.1,   0.5,  0.75, .0293, -.029, .0197, -0.02, .0001,  -0.0
0.001,   0.1,   0.5, .6875, .0422, -.042, .0385, -.039, .0195, -.019
0.001,   0.1, 0.625, .6875, .0639, -.064, .0444, -.044, .0062, -.006
0.001,   0.1,  0.75,   0.5, .0585, -.058, .0476, -.048, .0035, -.003
0.001,   0.1, .5625, 0.375, .0573, -.057, .0515, -.052, 0.021, -.021
0.001,   0.1,  0.75, .3125, .0673, -.067, .0458, -.046, .0225, -.023
0.001,   0.1, .5625, 0.625, .0369, -.037, .0273, -.027, .0098, -0.01
0.001,   0.1, .6875, .5625, 0.068, -.068, .0471, -.047, .0361, -.036
0.001,   0.1, 0.625, .8125, 0.057, -.057, .0664, -.066, .0334, -.033
0.001,   0.1, .6875, 0.625, .0656, -.066, .0434, -.043, -.009, .0094
0.001,   0.1,   0.5, .6875, .0643, -.064, .0356, -.036, 0.015, -.015
0.001,   0.1, 0.625, .1875, .0587, -.059, .0524, -.052, .0191, -.019
0.001,   0.1,   0.5, 0.625, .0695, -.069, .0394, -.039, .0133, -.013
0.001,   0.1, .5625,   0.5, .0809, -.081, .0435, -.044, .0243, -.024
0.001,   0.1, .3125, .4375, .0293, -.029, .0134, -.013, .0155, -.015
0.001,   0.1, 0.625, .6875, .0772, -.077, .0431, -.043, .0338, -.034
0.001,   0.1, .8125, .3125, .0573, -.057, .0421, -.042, 0.025, -.025
0.001,   0.1, .5625, 0.625, .0569, -.057, .0364, -.036, .0114, -.011
0.001,   0.1, .5625,  0.75, .0662, -.066, .0456, -.046, .0116, -.012
0.001,   0.1, 0.625,  0.75, .0796, -0.08, 0.032, -.032, .0243, -.024
0.001,   0.1, .6875, .3125, .0625, -.062, .0486, -.049, .0097, -0.01
0.001,   0.1,  0.75, .4375, .0594, -.059, .0348, -.035, .0037, -.004
0.001,   0.1, 0.625, .4375, .0591, -.059, .0169, -.017, -.007, .0075
0.001,   0.1, .5625, 0.625, .0314, -.031, .0235, -.024, .0079, -.008
0.001,   0.1,   0.5, 0.875, .0572, -.057, .0364, -.036, .0269, -.027
0.001,   0.1,   0.5, .5625, .0518, -.052, .0369, -.037, -.002, .0019
0.001,   0.1,   0.5, 0.625, .0807, -.081, .0488, -.049, .0453, -.045
0.001,   0.1,  0.75, .6875, .0642, -.064, .0294, -.029, .0018, -.002
0.001,   0.1,   0.5,  0.75, .0658, -.066, .0365, -.036, 0.015, -.015
0.001,   0.1,  0.75, .5625, 0.066, -.066, .0488, -.049, 0.004, -.004
0.001,   0.1, .6875, .5625, .0607, -.061, .0656, -.066, .0227, -.023
0.001,   0.1,  0.75, 0.625, .0628, -.063, .0421, -.042, .0227, -.023
0.001,   0.1, .3125, .6875, 0.081, -.081, .0542, -.054, 0.021, -.021
0.001,   0.1, .6875,   0.5, .0566, -.057, .0288, -.029, .0074, -.007
0.001,   0.1, .4375, 0.625, .0565, -.057, .0511, -.051, .0071, -.007
0.001,   0.1, .4375,   0.5, 0.074, -.074, .0416, -.042, .0278, -.028
0.001,   0.1, 0.625, 0.625, .0514, -.051, .0376, -.038, .0097, -0.01
0.001,   0.1, .6875, .4375, .0079, -.008, .0079, -.008, .0079, -.008
0.001,   0.1, .5625,  0.75, 0.042, -.042, 0.031, -.031, 0.021, -.021
0.001,   0.1, .8125, .6875, .0573, -.057, .0457, -.046, .0152, -.015
0.001,   0.1, 0.375, .4375, .0661, -.066, .0512, -.051, .0173, -.017
0.001,   0.1,  0.25, 0.625, .0664, -.066, 0.046, -.046, .0225, -.022
0.001,   0.1, .5625,   0.5, .0314, -.031, .0136, -.014, .0098, -0.01
0.001,   0.1,   0.5, .4375, .0639, -.064, .0564, -.056, .0286, -.029
0.001,   0.1, 0.625, .5625, 0.033, -.033, .0254, -.025, .0077, -.008
0.001,   0.1, .6875, 0.625, .0699, -0.07, .0361, -.036, .0241, -.024
0.001,   0.1,   0.5, 0.375, .0663, -.066, .0319, -.032, .0324, -.032
0.001,   0.1, 0.625, .6875, .0759, -.076, 0.062, -.062,  0.02, -0.02
0.001,   0.1, .6875, .6875, 0.067, -.067,  0.04, -0.04, .0094, -.009
0.001,   0.1, .4375,   0.5, .0812, -.081, .0394, -.039, .0281, -.028
0.001,   0.1, .4375, 0.625, .0551, -.055, .0396, -0.04, .0221, -.022
0.001,   0.1, 0.625, .5625, .0384, -.038, .0493, -.049, .0174, -.017
0.001,   0.1,  0.75,   0.5, .0604, -0.06, .0298, -0.03, .0111, -.011
0.001,   0.1, .5625, .6875, .0657, -.066, .0524, -.052, .0055, -.005
0.001,   0.1, .5625,   0.5, .0255, -.026, .0177, -.018, .0078, -.008
0.001,   0.1, .8125, 0.625, .0673, -.067, .0588, -.059, 0.019, -.019
0.001,   0.1,  0.75, .6875,  0.07, -0.07, .0392, -.039, 0.027, -.027
0.001,   0.1, .5625,  0.75, .0734, -.073, .0584, -.058, .0232, -.023
0.001,   0.1, .6875, 0.625, .0733, -.073, .0568, -.057, .0337, -.034
0.001,   0.1, .5625,  0.75, .0558, -.056, .0327, -.033, .0059, -.006
0.001,   0.1, 0.625, .3125, .0329, -.033, .0292, -.029, .0136, -.014
0.001,   0.1,   0.5, .3125, .0331, -.033, 0.033, -.033, .0193, -.019
0.001,   0.1,   0.5, .6875, .0462, -.046, .0266, -.027, .0366, -.037
0.001,   0.1, .5625,  0.75, .0499, -0.05, 0.044, -.044, .0214, -.021
0.001,   0.1,   0.5, 0.625, 0.066, -.066, .0359, -.036, .0201, -0.02
0.001,   0.1, .6875, .5625, .0422, -.042, 0.023, -.023, 0.021, -.021
0.001,   0.1,   0.5, .4375, .0372, -.037, .0254, -.025, .0252, -.025
0.001,   0.1, .5625, .6875, .0698, -0.07, 0.041, -.041, .0146, -.015
0.001,   0.1,  0.75, .6875, .0752, -.075, .0396, -0.04, .0281, -.028
0.001,   0.1, .5625, .6875, .0619, -.062, .0321, -.032, .0114, -.011
0.001,   0.1, .8125, 0.625, .0756, -.076, .0395, -.039,  0.01, -0.01
0.001,   0.1, 0.625,  0.75, .0552, -.055, .0306, -.031, 0.017, -.017
0.001,   0.1, .5625, .4375, .0423, -.042, .0499, -0.05, 0.004, -.004
0.001,   0.1,   0.5, 0.375, .0698, -0.07, .0451, -.045, .0188, -.019
0.001,   0.1, .4375, .5625, .0679, -.068, .0603, -0.06, .0205, -0.02
0.001,   0.1,  0.25, .4375, .0313, -.031, .0078, -.008, 0.004, -.004
0.001,   0.1, .6875, .6875, .0833, -.083, .0378, -.038, .0109, -.011
0.001,   0.1, .5625, .4375, .0294, -.029, .0137, -.014, .0157, -.016
0.001,   0.1, .5625,  0.75, .0519, -.052, .0194, -.019, .0269, -.027
0.001,   0.1, .6875, .6875, .0557, -.056, .0385, -.038, .0096, -0.01
0.001,   0.1, 0.375, .5625, .0216, -.022, .0138, -.014,  -0.0,   0.0
0.001,   0.1, 0.625, .4375, .0589, -.059, .0282, -.028, .0286, -.029
0.001,   0.1,   0.5, 0.625, .0767, -.077, .0397, -0.04, .0205, -.021
0.001,   0.1,  0.75, .5625, .0549, -.055, .0504, -0.05, .0131, -.013
0.001,   0.1, .5625,   0.5, .0736, -.074, .0469, -.047, .0167, -.017
0.001,   0.1, .4375,  0.25, .0389, -.039, .0271, -.027, .0057, -.006
0.001,   0.1, .6875, 0.625, .0585, -.059, .0413, -.041, 0.017, -.017
0.001,   0.1, .5625, .8125, .0792, -.079, .0398, -0.04, .0211, -.021
0.001,   0.1, .4375, 0.375, .0585, -.058, .0507, -.051, .0018, -.002
0.001,   0.1, 0.625, .5625, .0404, -0.04, .0348, -.035, -.004, .0037
0.001,   0.1, .5625, .8125, .0605, -.061, 0.047, -.047, 0.028, -.028
0.001,   0.1, .5625, .5625, .0592, -.059, .0384, -.038, .0211, -.021
0.001,   0.1, .5625, .5625, .0551, -.055, .0324, -.032, .0131, -.013
0.001,   0.1, .6875, 0.375, .0499, -0.05, 0.025, -.025, .0115, -.011
0.001,   0.1,  0.75, .6875, .0772, -.077, .0502, -0.05, .0224, -.022
0.001,   0.1, .4375, 0.625, .0196, -0.02, .0177, -.018, .0156, -.016
0.001,   0.1, .5625, .6875, .0619, -.062, .0472, -.047, .0113, -.011
0.001,   0.1, .6875, 0.375, .0392, -.039, .0426, -.043, .0227, -.023
0.001,   0.1,   0.5, .6875, .0493, -.049, .0361, -.036, .0272, -.027
0.001,   0.1,  0.75, .5625, .0624, -.062, .0375, -.038, .0058, -.006
0.001,   0.1,   0.5, 0.625, .0196, -0.02, .0078, -.008, .0059, -.006
0.001,   0.1, 0.625, 0.625, .0678, -.068, .0491, -.049, .0285, -.028
0.001,   0.1,   0.5, .5625, .0599, -0.06, .0437, -.044, .0145, -.015
0.001,   0.1, 0.625, .6875, .0592, -.059, .0342, -.034, .0324, -.032
0.001,   0.1, .5625,   0.5, .0611, -.061, .0572, -.057, .0269, -.027
0.001,   0.1, .6875,   0.5, 0.062, -.062, .0376, -.038, .0242, -.024
0.001,   0.1, .4375,  0.75, .0473, -.047, .0582, -.058, .0271, -.027
0.001,   0.1, 0.375, .4375, 0.061, -.061, 0.038, -.038, 0.019, -.019
0.001,   0.1,   0.5, .6875, .0605, -0.06, .0354, -.035, .0225, -.023
0.001,   0.1, .6875,   0.5, 0.083, -.083, .0416, -.042, .0285, -.028
0.001,   0.1,   0.5, .4375, .0613, -.061, .0376, -.038, .0287, -.029
0.001,   0.1,   0.5, .5625, .0275, -.027, .0215, -.022, 0.004, -.004
0.001,   0.1,   0.5,   0.5, .0573, -.057, .0357, -.036, 0.013, -.013
0.001,   0.1,   0.5, .6875, .0738, -.074, .0335, -.034, .0247, -.025
0.001,   0.1, 0.625, .5625, .0349, -.035, .0273, -.027, .0039, -.004
0.001,   0.1, 0.625, 0.625, .0758, -.076, .0511, -.051, .0264, -.026
0.001,   0.1, .5625, .3125, .0603, -0.06, .0496, -0.05, .0162, -.016
0.001,   0.1, .5625, .5625, .0271, -.027, .0253, -.025, .0096, -0.01
0.001,   0.1, .3125, .3125, .0538, -.054, .0422, -.042, .0213, -.021
0.001,   0.1, .5625, 0.375, 0.037, -.037, .0194, -.019, 0.006, -.006
0.001,   0.1,   0.5, .6875, .0638, -.064, .0523, -.052, .0206, -.021
0.001,   0.1, .5625, .4375, .0556, -.056, .0365, -.036, .0018, -.002
0.001,   0.1, .6875, .6875, .0572, -.057, .0397, -0.04, .0325, -.033
0.001,   0.1, .6875,  0.75, .0678, -.068, .0438, -.044, .0059, -.006
0.001,   0.1, .3125,   0.5, .0235, -.023, .0177, -.018, .0136, -.014
0.001,   0.1,   0.5, .4375, .0694, -.069, .0357, -.036, .0154, -.015
0.001,   0.1,  0.75,  0.75, .0624, -.062, .0489, -.049, .0046, -.005
0.001,   0.1,   0.5, .8125, .0583, -.058, .0454, -.045, .0148, -.015
0.001,   0.1,  0.75, .8125, .0658, -.066, .0418, -.042, 0.008, -.008
0.001,   0.1,  0.75,  0.75, .0717, -.072, .0378, -.038, .0287, -.029
0.001,   0.1,   0.5, .5625, .0659, -.066, .0484, -.048, 0.006, -.006
0.001,   0.1, .5625,  0.75, .0676, -.068, .0412, -.041, .0316, -.032
0.001,   0.1, 0.625, .5625, .0667, -.067, 0.036, -.036, .0212, -.021
0.001,   0.1, 0.625, 0.625, 0.061, -.061, .0611, -.061, .0192, -.019
0.001,   0.1, 0.625, 0.625, .0717, -.072, .0396, -0.04, .0169, -.017
0.001,   0.1, 0.625,  0.75, 0.075, -.075, .0414, -.041, .0204, -0.02
0.001,   0.1,  0.75, 0.625, .0758, -.076, .0384, -.038, .0264, -.026
0.001,   0.1,  0.75,   0.5, .0701, -0.07, .0326, -.033, .0394, -.039
0.001,   0.1, .5625, .5625, 0.057, -.057, .0304, -0.03, .0192, -.019
0.001,   0.1, .5625, .6875, .0693, -.069, .0395, -0.04, .0212, -.021
0.001,   0.1, 0.625, .8125, .0771, -.077, .0439, -.044, .0264, -.026
0.001,   0.1,   0.5, .8125, .0811, -.081, .0322, -.032, .0187, -.019
0.001,   0.1, 0.375, 0.625, 0.062, -.062, .0339, -.034, .0091, -.009
0.001,   0.1, .6875, .6875, .0629, -.063, .0553, -.055, 0.038, -.038
0.001,   0.1,  0.75, 0.625, .0736, -.074, .0394, -.039, .0354, -.035
0.001,   0.1, 0.875,  0.75, .0812, -.081, 0.034, -.034, .0153, -.015
0.001,   0.1,   0.5, .6875, .0831, -.083, .0509, -.051, 0.021, -.021
0.001,   0.1, 0.625, .5625, .0754, -.075, .0377, -.038, .0205, -.021
0.001,   0.1, .4375, 0.625, .0463, -.046, .0269, -.027, .0152, -.015
0.001,   0.1,   0.5, .4375, .0519, -.052, 0.021, -.021, -.008, .0077
0.001,   0.1,   0.5, .5625, .0759, -.076, .0375, -.037, .0135, -.014
0.002,   0.1, .5625, .4375, .0577, -.058, .0425, -.043, .0115, -.011
0.002,   0.1, 0.625, .5625, .0638, -.064, .0639, -.064, .0147, -.015
0.002,   0.1, .6875, .5625, .0577, -.058, .0381, -.038, -.004, .0043
0.002,   0.1, .5625,  0.75, 0.094, -.094, .0768, -.077, .0425, -.043
0.002,   0.1, .6875, .6875, .0925, -.092, .0557, -.056, .0371, -.037
0.002,   0.1,  0.75, 0.625, .1417, -.142, .0368, -.037, .0684, -.068
0.002,   0.1, .6875, .8125, .0716, -.072, .0678, -.068, .0448, -.045
0.002,   0.1, .4375, 0.625, .1169, -.117, .0396, -0.04, .0687, -.069
0.002,   0.1, .8125,  0.75, .0849, -.085, .0553, -.055, .0135, -.013
0.002,   0.1,  0.75, 0.625, .0766, -.077, .0661, -.066, .0406, -.041
0.002,   0.1, .4375, .3125, .0525, -.053, .0563, -.056, 0.038, -.038
0.002,   0.1, .5625,  0.75, .0714, -.071, .0528, -.053, .0451, -.045
0.002,   0.1, 0.625, .6875, .1392, -.139, .0422, -.042, .0224, -.022
0.002,   0.1, 0.625, .6875, .1063, -.106, .0975, -.097, 0.005, -.005
0.002,   0.1,   0.5,  0.75, .0779, -.078, .0474, -.047, .0229, -.023
0.002,   0.1, .5625, 0.375, .0886, -.089, .0553, -.055, .0583, -.058
0.002,   0.1, .5625,   0.5, .0609, -.061, .0605, -0.06, .0568, -.057
0.002,   0.1, 0.875,  0.75, .0891, -.089, .0673, -.067, .0212, -.021
0.002,   0.1, .6875, 0.375, .0936, -.094, .0547, -.055, .0545, -.055
0.002,   0.1, 0.625, .8125, .1004,  -0.1, .0921, -.092, .0299, -0.03
0.002,   0.1, .6875, .5625, .0637, -.064, .0416, -.042, .0415, -.042
0.002,   0.1,   0.5, .5625, .0641, -.064, .0649, -.065, .0081, -.008
0.002,   0.1, .8125,  0.75, .1126, -.113, .1027, -.103, .0574, -.057
0.002,   0.1, .6875, .5625, .0567, -.057, .0335, -.034, -.003, .0034
0.002,   0.1, 0.625, 0.375, .0771, -.077, .0668, -.067, .0365, -.036
0.002,   0.1, .6875, .6875, .1072, -.107, .0646, -.065, .0216, -.022
0.002,   0.1, .5625, 0.625, .0831, -.083, .0379, -.038, .0226, -.023
0.002,   0.1,  0.75, .6875, .0885, -.089, .0659, -.066, .0147, -.015
0.002,   0.1,   0.5,  0.75, .0383, -.038, .0269, -.027, .0232, -.023
0.002,   0.1,   0.5, .6875, .0667, -.067, .0588, -.059, .0324, -.032
0.002,   0.1, 0.375, 0.625, .0606, -.061, .0376, -.038, .0265, -.027
0.002,   0.1,  0.75,  0.75, .1274, -.127, 0.083, -.083, .0233, -.023
0.002,   0.1, 0.625, 0.375, .0537, -.054, .0384, -.038, .0229, -.023
0.002,   0.1, .6875, .6875, .1088, -.109, .0802, -0.08, .0577, -.058
0.002,   0.1, .5625, 0.375, .0348, -.035, .0499, -0.05, .0001,  -0.0
0.002,   0.1, .5625, 0.625, .0524, -.052, .0532, -.053, .0333, -.033
0.002,   0.1, .5625, .4375, .0449, -.045, .0071, -.007, .0447, -.045
0.002,   0.1,  0.75, .6875, .1159, -.116, .0854, -.085, .0494, -.049
0.002,   0.1, .5625, .6875, .0712, -.071, .0751, -.075, .0117, -.012
0.002,   0.1, .8125,  0.75, .0859, -.086, .0706, -.071, .0444, -.044
0.002,   0.1, .5625, 0.625, .1196, -0.12, .0883, -.088, .0214, -.021
0.002,   0.1, 0.375, .5625, .0998,  -0.1, .0737, -.074, .0363, -.036
0.002,   0.1, .6875,  0.75, .0792, -.079, .0302, -0.03, .0529, -.053
0.002,   0.1, .8125, .6875, 0.071, -.071, .0567, -.057, .0037, -.004
0.002,   0.1, 0.625, .6875, .0576, -.058, .0421, -.042, 0.012, -.012
0.002,   0.1,  0.75, 0.625, .0681, -.068, .0528, -.053, 0.037, -.037
0.002,   0.1, .8125, .6875, .0756, -.076, .0565, -.056, .0332, -.033
0.002,   0.1, .5625, 0.625, .1259, -.126, .0807, -.081, .0175, -.018
0.002,   0.1, .8125, .8125, .1164, -.116, .0678, -.068, .0177, -.018
0.002,   0.1, .5625,   0.5, .0956, -.096, .0746, -.075, .0321, -.032
0.002,   0.1, .6875, .4375, .1162, -.116, .0868, -.087, .0591, -.059
0.002,   0.1, .5625, .8125, .1186, -.119, .0706, -.071, .0124, -.012
0.002,   0.1, 0.625, .6875, .0754, -.075, .0534, -.053, .0141, -.014
0.002,   0.1, 0.625, .6875, .0426, -.043,  0.02, -0.02, .0158, -.016
0.002,   0.1,   0.5,   0.5, .0196, -0.02, .0157, -.016, .0156, -.016
0.002,   0.1, 0.625,  0.75, .0491, -.049, .0374, -.037, 0.012, -.012
0.002,   0.1,   0.5,   0.5, .0421, -.042, .0578, -.058, .0076, -.008
0.002,   0.1,  0.75,  0.75, .1387, -.139, .0865, -.087, .0356, -.036
0.002,   0.1, 0.625, .6875, 0.108, -.108, .0554, -.055, .0344, -.034
0.002,   0.1,  0.75, 0.625,  0.14, -0.14, .0932, -.093, .0362, -.036
0.002,   0.1,   0.5,  0.75, .0377, -.038, .0347, -.035, 0.019, -.019
0.002,   0.1, .4375, .6875, .0941, -.094, 0.095, -.095, .0301, -0.03
0.002,   0.1,   0.5, .8125, .1289, -.129, .0841, -.084, .0504, -0.05
0.002,   0.1, .8125, 0.875, .1504, -0.15, .0695, -0.07, .0047, -.005
0.002,   0.1,   0.5, .6875, .0828, -.083, .0452, -.045, .0033, -.003
0.002,   0.1, .4375, .4375, .0793, -.079, .0335, -.033, .0218, -.022
0.002,   0.1, .5625, .6875, .0385, -.039, .0232, -.023, .0156, -.016
0.002,   0.1, 0.625, .5625, .0636, -.064, .0454, -.045, .0408, -.041
0.002,   0.1, 0.625, 0.375, .0906, -.091, .0609, -.061, .0478, -.048
0.002,   0.1, 0.375, .4375, .0424, -.042, .0194, -.019, -.004, 0.004
0.002,   0.1,  0.75, 0.625, .0929, -.093, .0516, -.052, .0283, -.028
0.002,   0.1, 0.625, .5625, .0602, -0.06, .0381, -.038, .0488, -.049
0.002,   0.1, .5625, 0.625, .0952, -.095, .0797, -0.08, 0.052, -.052
0.002,   0.1,   0.5, .4375, .0503, -0.05, .0308, -.031, .0151, -.015
0.002,   0.1, .3125, .5625, .0645, -.065, .0499, -0.05, .0447, -.045
0.002,   0.1, .6875, .5625, .1109, -.111, .0632, -.063, .0354, -.035
